V 0 :0.993261 -0.0860012 -0.0776987 -0.0833676 -0.0644111 -0.994435 0.0805179 0.994211 -0.0711468 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.995821 -0.0481515 0.0776014 0.05576 -0.993518 0.0990653 0.0723282 0.102978 0.99205 ,0.00698032 0.0259224 -0.0703598 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.0463182 0.00340709 0.0696725 ,19.3055
V 87 :0.921643 0.386582 0.033597 0.0905308 -0.130022 -0.987369 -0.377331 0.913044 -0.154832 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.909247 0.401123 -0.111218 -0.414665 -0.896181 0.157836 -0.0363603 0.18963 0.981182 ,0.325091 -0.270914 0.603449 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.0176223 -0.749697 -0.125989 ,19.3055
V 89 :0.670257 0.721114 -0.175356 -0.336939 0.0851598 -0.937667 -0.661232 0.687563 0.30005 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.652702 0.69199 0.308431 -0.740684 -0.668427 -0.0677662 0.15927 -0.272681 0.94883 ,1.02292 0.182543 0.142628 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.437033 -0.868091 0.323476 ,19.3055
V 92 :0.803065 -0.591358 0.0733733 -0.0167097 -0.145431 -0.989227 0.595658 0.793187 -0.126672 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.820613 -0.570686 0.0302025 0.566277 -0.804881 0.177475 -0.0769733 0.162741 0.983662 ,-0.430794 -0.133325 0.4747 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.0591066 -0.725824 0.018892 ,19.3055
V 93 :0.782812 -0.598142 0.171558 0.19457 -0.026591 -0.980528 0.591057 0.800949 0.0955648 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.798647 -0.573957 -0.180931 0.573718 -0.816923 0.0590317 -0.181689 -0.056658 0.981723 ,-0.501721 0.188919 0.452243 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.0761644 -0.738943 0.276209 ,19.3055
V 97 :0.857855 0.496161 -0.133826 -0.0775325 -0.132474 -0.988149 -0.50801 0.858065 -0.0751747 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.842845 0.535559 0.0528204 -0.522567 -0.83793 0.157474 0.128596 0.105124 0.986109 ,1.48197 -0.269725 -0.127207 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-1.27796 -0.69065 -0.032085 ,19.3055
V 98 :0.796006 0.582816 -0.163402 -0.221651 0.0294617 -0.974681 -0.563246 0.81207 0.152634 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.780455 0.593864 0.19549 -0.606591 -0.794986 -0.00667097 0.15145 -0.123789 0.980683 ,1.54756 -0.157227 -0.32041 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-1.36062 -0.666339 0.176639 ,19.3055
V 104 :0.766871 0.616986 -0.176741 -0.31275 0.118774 -0.94238 -0.560443 0.77796 0.284046 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.752101 0.593335 0.286876 -0.639055 -0.762971 -0.0973841 0.161097 -0.256572 0.953005 ,0.312782 0.0413478 -0.58046 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.462929 0.22416 0.276105 ,19.3055
V 111 :0.833768 0.523928 -0.174157 0.0244703 -0.350193 -0.936358 -0.551573 0.776444 -0.3048 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.816702 0.574855 -0.0504019 -0.549514 -0.748081 0.372033 0.17616 0.331537 0.92685 ,0.467729 -0.191823 0.183581 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.208148 -0.466339 0.0147754 ,19.3055
V 116 :0.998714 -0.048971 -0.0131536 -0.00334861 0.195143 -0.980769 0.0505961 0.979552 0.194728 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.999777 -0.0208515 -0.00343652 0.0211328 -0.986705 -0.161144 -3.07383e-05 -0.161181 0.986925 ,0.870972 0.188264 -0.131956 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.818618 0.0567933 0.254424 ,19.3055
V 121 :0.74923 -0.072086 -0.658376 -0.655559 0.0608605 -0.752688 0.0943273 0.99554 -0.00165818 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.756611 -0.0494918 0.651989 0.0427515 -0.998742 -0.0262018 0.652466 0.00804895 0.757775 ,0.254061 -0.0916926 -0.200927 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.171415 0.149734 0.102614 ,19.3055
V 126 :0.979284 0.0562804 -0.194515 -0.192911 -0.032701 -0.980671 -0.0615534 0.99788 -0.0211666 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.978426 0.0971274 0.182344 -0.0863257 -0.994059 0.0662877 0.187699 0.0491166 0.980998 ,-0.167495 0.0866844 -0.122933 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.232831 0.071091 0.0885996 ,19.3055
V 131 :0.838724 -0.0193759 0.544211 0.543531 -0.031521 -0.838797 0.0334066 0.999315 -0.0159061 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.835247 -0.0272291 -0.5492 -0.0107394 -0.997775 0.0658021 -0.54977 0.0608591 0.833096 ,0.67519 0.470771 -0.00348781 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.810471 -0.0361669 0.0939897 ,19.3055
V 137 :0.588522 -0.805769 -0.0661659 -0.0558159 0.0411504 -0.997593 0.806552 0.590799 -0.0207569 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.612769 -0.786372 0.0783167 0.788036 -0.615468 -0.0140768 0.059271 0.0530906 0.996829 ,0.386117 -0.0280958 0.17537 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.394785 0.128327 0.0467761 ,19.3055
V 138 :0.984217 -0.130087 0.119972 0.122805 0.0139536 -0.992333 0.127416 0.991404 0.0297087 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.986637 -0.102361 -0.126765 0.100497 -0.994715 0.021029 -0.128247 0.00800856 0.99171 ,0.387734 0.0666522 -0.235216 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.327812 0.208277 0.0773376 ,19.3055
V 139 :0.983901 0.153945 -0.0907808 -0.0904157 -0.00938631 -0.99586 -0.154159 0.988035 0.00468371 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.979504 0.186249 0.0767086 -0.183474 -0.982135 0.0418188 0.0831268 0.0268876 0.996176 ,0.293442 -0.00262752 -0.211035 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.260166 0.103652 0.067646 ,19.3055
V 140 :0.612425 -0.785114 -0.092375 -0.121342 0.0221072 -0.992365 0.781161 0.618957 -0.0817285 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.636393 -0.758045 0.142731 0.766406 -0.642331 0.0057404 0.0873293 0.113043 0.989745 ,0.120903 -0.0189394 0.0791691 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.156749 -0.034043 0.0471313 ,19.3055
V 141 :0.987011 0.158115 0.0284413 0.0393733 -0.0664421 -0.997013 -0.155753 0.985183 -0.0718047 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.981592 0.183469 -0.0530809 -0.187985 -0.9772 0.0987062 -0.0337611 0.106868 0.9937 ,0.42651 0.00151523 -0.0492258 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.373277 -0.0754021 0.0393889 ,19.3055
V 142 :0.981456 0.179248 -0.0679263 -0.0647066 -0.023755 -0.997622 -0.180436 0.983517 -0.0117161 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.976082 0.211541 0.0501387 -0.208739 -0.976378 0.0558086 0.0607601 0.0440079 0.997182 ,0.482724 -0.0370245 -0.0705795 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.427124 -0.0754647 0.0399441 ,19.3055
V 143 :0.690149 -0.716213 -0.103606 -0.142931 0.00544162 -0.989718 0.709412 0.697861 -0.0986137 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.712098 -0.683326 0.161194 0.695054 -0.71854 0.0245038 0.09908 0.129487 0.986619 ,0.206247 -0.054549 0.203747 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.303649 -0.0758881 0.036255 ,19.3055
V 144 :0.99353 -0.104683 -0.0440403 -0.0426257 0.015713 -0.998968 0.105267 0.994382 0.0111491 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.996524 -0.0742687 0.0377279 0.0750292 -0.996997 0.0191559 0.0361919 0.02192 0.999104 ,0.444903 -0.0257341 0.057292 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.407335 -0.0835035 0.037799 ,19.3055
V 145 :0.994944 -0.0938066 -0.0358832 -0.0382186 -0.0232193 -0.999 0.0928796 0.99532 -0.0266872 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.997534 -0.0620036 0.0328884 0.0638376 -0.996273 0.0580035 0.0291694 0.0599599 0.997774 ,0.434934 -0.0534938 0.0994525 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.401497 -0.130644 0.0123399 ,19.3055
V 146 :0.942311 -0.33234 -0.0400019 -0.081395 -0.111575 -0.990417 0.324692 0.936537 -0.132189 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.952179 -0.293651 0.084405 0.303352 -0.941576 0.146329 0.036504 0.164936 0.985628 ,0.190452 -0.124935 0.0749231 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.187691 -0.0951043 -0.0521028 ,19.3055
V 147 :0.857483 -0.514472 -0.00651393 -0.0435472 -0.0599545 -0.997251 0.512667 0.855409 -0.0738138 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.872726 -0.485246 0.0537246 0.48821 -0.867701 0.0935217 0.00123585 0.107848 0.994167 ,-0.118493 -0.0613645 -0.323168 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.272255 0.131981 -0.0337829 ,19.3055
V 148 :0.823521 -0.564869 -0.0523008 -0.0463982 0.0248172 -0.998615 0.565385 0.824807 -0.00577156 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.840377 -0.538817 0.0586641 0.540134 -0.841539 0.00818679 0.0449569 0.0385664 0.998244 ,-0.206284 -0.0432713 -0.711091 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.57249 0.386926 -0.0128058 ,19.3055
V 149 :0.811483 -0.583819 -0.0255127 -0.018677 0.017725 -0.999668 0.584078 0.81169 0.00347949 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.828696 -0.558801 0.0317012 0.559413 -0.828753 0.014988 0.0178971 0.0301545 0.999385 ,-0.277032 -0.0115729 -1.04504 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.834394 0.602917 0.0309833 ,19.3055
V 151 :0.844731 -0.533736 -0.0394272 -0.00661304 0.0632543 -0.997976 0.53515 0.843282 0.0499032 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.860376 -0.509354 0.01769 0.508752 -0.860395 -0.0298608 0.0304301 -0.0166917 0.999398 ,-0.50515 -0.0690811 -1.47167 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.21758 0.890038 0.026663 ,19.3055
V 153 :0.888709 -0.457877 -0.0233412 -0.0119476 0.0277642 -0.999543 0.458316 0.888582 0.0192036 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.902076 -0.431113 0.020022 0.431308 -0.902181 0.00650824 0.0152577 0.0145066 0.999778 ,-0.728197 -0.0236496 -1.73994 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.45564 1.12974 0.0377858 ,19.3055
V 154 :0.900322 -0.435137 -0.00867641 0.00574633 0.0318185 -0.999477 0.435186 0.899802 0.0311473 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.912859 -0.408272 0.00144989 0.408274 -0.912856 0.0026459 0.000243294 0.00300729 0.999995 ,-0.80411 -0.0825051 -1.89731 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.56273 1.27648 0.0145416 ,19.3055
V 155 :0.919179 -0.393793 0.00603534 0.0116725 0.0119215 -0.999861 0.393667 0.919122 0.0155545 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.930422 -0.366441 -0.00605157 0.366223 -0.930247 0.0228381 -0.0139983 0.0190329 0.999721 ,-0.911006 -0.0690923 -2.03537 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.6555 1.43096 0.0147361 ,19.3055
V 156 :0.937406 -0.348211 -0.00437279 -0.00378793 0.00236043 -0.99999 0.348218 0.937413 0.000893582 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.947398 -0.319967 0.00769147 0.320044 -0.946841 0.0326297 -0.00315784 0.0333749 0.999438 ,-1.03395 -0.00954087 -2.15341 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.7398 1.57812 0.0350375 ,19.3055
V 157 :0.956246 -0.292107 -0.0163632 -0.0130514 0.0132828 -0.999827 0.292274 0.956294 0.00888912 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.964626 -0.263204 0.0148776 0.263484 -0.964416 0.0218809 0.00858909 0.0250269 0.99965 ,-1.18756 -0.0209709 -2.25761 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.82106 1.73266 0.0257239 ,19.3055
