V 0 :0.997834 -0.0105558 -0.0649297 -0.0645998 0.0290595 -0.997488 0.0124161 0.999522 0.0283145 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.998216 0.01937 0.05648 -0.0191071 -0.999804 0.00519115 0.0565694 0.00410272 0.99839 ,-0.0740332 0.0302236 -0.0400969 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.125719 -0.0316271 0.0687992 ,19.3055
V 81 :0.993497 -0.113456 0.00961354 0.0285467 0.166458 -0.985635 0.110226 0.9795 0.168614 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.996105 -0.0816717 -0.0332307 0.0853736 -0.987576 -0.131929 -0.022043 -0.134252 0.990702 ,-0.935753 0.0371689 0.251947 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.938936 -0.439199 0.038866 ,19.3055
V 84 :0.999201 -0.0253179 0.0309479 0.0322034 0.0507874 -0.99819 0.0237004 0.998389 0.051562 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.999193 0.00480801 -0.0398894 -0.00415505 -0.999857 -0.0164362 -0.0399627 -0.0162572 0.999069 ,-1.45545 -0.279874 0.244871 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.5016 -0.338808 -0.201646 ,19.3055
V 90 :0.999646 0.00134362 0.0265697 0.0257111 0.20772 -0.97785 -0.00683291 0.978188 0.207612 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.998774 0.0355463 -0.0344479 -0.0290228 -0.984285 -0.174189 -0.0400983 -0.172975 0.98411 ,-1.12866 -0.285708 -0.607004 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.17797 0.578123 -0.0898813 ,19.3055
V 95 :0.999545 -0.0197841 -0.0227661 -0.0214044 0.0665037 -0.997557 0.0212498 0.99759 0.0660499 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.999866 0.00911022 0.0135986 -0.00954447 -0.999435 -0.0322172 0.0132974 -0.0323427 0.999388 ,0.239713 -0.22612 -0.340064 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.190393 0.286899 -0.155902 ,19.3055
V 100 :0.956378 -0.29208 -0.00550276 -0.0340038 -0.092593 -0.995123 0.290146 0.951902 -0.0984858 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.964852 -0.260354 0.0357432 0.262794 -0.956385 0.127541 0.000978565 0.132451 0.991189 ,-0.179752 -0.276314 0.728531 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.0218227 -0.845912 -0.150537 ,19.3055
V 106 :0.986978 -0.141126 0.0771851 0.122497 0.348444 -0.929291 0.104253 0.926645 0.361194 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.988706 -0.079129 -0.127271 0.115976 -0.941855 -0.315372 -0.0949161 -0.32657 0.940395 ,-0.976069 0.0260013 -0.37694 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.03321 0.11608 0.258754 ,19.3055
V 114 :0.623134 0.773007 -0.119016 -0.133832 -0.044541 -0.990003 -0.77058 0.632832 0.0756979 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.600809 0.792844 0.102116 -0.791889 -0.607755 0.0595425 0.109269 -0.045091 0.992989 ,0.999706 -0.133302 -0.245866 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.741885 -0.627623 0.0418022 ,19.3055
V 123 :0.974357 0.211363 -0.0771636 -0.0714931 -0.0343516 -0.996849 -0.213348 0.976804 -0.0183598 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.968054 0.244443 0.0558572 -0.240717 -0.968356 0.0658956 0.0701974 0.0503447 0.996262 ,0.427634 -0.101272 0.517078 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.249582 -0.653943 -0.0135641 ,19.3055
V 127 :0.998088 -0.0213771 -0.0579921 -0.0594392 -0.0747868 -0.995427 0.0169423 0.996971 -0.0759146 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.998567 0.0146784 0.051475 -0.00899364 -0.994004 0.108978 0.052766 0.108359 0.99271 ,-0.676167 -0.238569 0.424754 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.702352 -0.521219 -0.194783 ,19.3055
V 134 :0.701523 0.155426 0.695492 0.712526 -0.170958 -0.6805 0.0131329 0.972942 -0.230676 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.696237 -0.0168525 -0.717615 -0.185716 -0.961456 0.202762 -0.693372 0.274443 0.666271 ,-0.126914 -0.341463 0.252615 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.327485 -0.335325 -0.00492552 ,19.3055
V 139 :0.317149 -0.143524 -0.937452 -0.948215 -0.0297713 -0.316232 0.0174776 0.989199 -0.145533 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.324634 0.024549 0.945521 0.113665 -0.991406 0.064766 0.938985 0.128498 0.319054 ,0.156025 -0.545629 0.505609 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.516904 -0.566836 0.0279095 ,19.3055
V 145 :0.81359 0.159584 0.55911 0.580516 -0.168779 -0.796564 -0.0327529 0.97265 -0.229958 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.80787 0.0368456 -0.588209 -0.189847 -0.961115 0.200539 -0.557947 0.273679 0.783451 ,0.0578067 -0.103616 0.0403159 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.0275987 -0.116708 -0.0256765 ,19.3055
V 150 :0.921344 -0.385287 -0.0517623 -0.116893 -0.147583 -0.982118 0.370758 0.910919 -0.181012 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.932865 -0.339069 0.121633 0.35677 -0.916314 0.181891 0.0497804 0.213075 0.975767 ,-0.163301 -0.129366 0.197462 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.085945 -0.33522 -0.0432699 ,19.3055
V 151 :0.81598 0.576812 0.0382754 0.0702389 -0.0332062 -0.996977 -0.573798 0.816202 -0.0676104 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.797914 0.594956 -0.0967498 -0.601184 -0.797136 0.0561505 -0.0437156 0.102968 0.993724 ,0.259381 -0.0950251 0.22037 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.00414734 -0.359453 -0.036046 ,19.3055
V 157 :0.827913 0.560824 0.00609474 0.029657 -0.0329241 -0.999018 -0.560073 0.82728 -0.0438907 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.810556 0.582994 -0.0558258 -0.585532 -0.808686 0.0563832 -0.0122745 0.0783896 0.996847 ,0.316624 -0.0547208 0.183216 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-0.081966 -0.359285 0.00212284 ,19.3055
V 160 :0.926887 -0.373545 -0.0366738 -0.0874785 -0.119973 -0.988916 0.365004 0.919821 -0.143879 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.938013 -0.334169 0.0919932 0.344974 -0.925809 0.154503 0.0335382 0.176661 0.9837 ,-0.272955 -0.11969 0.157143 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.20825 -0.335564 -0.0507677 ,19.3055
V 161 :0.879404 -0.475843 -0.0149141 -0.048524 -0.0584251 -0.997112 0.473598 0.877588 -0.0744691 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.893506 -0.445396 0.0571769 0.448948 -0.888766 0.0924216 0.00965263 0.108249 0.994077 ,-0.462398 -0.0644617 -0.129928 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.476621 -0.18935 -0.0291674 ,19.3055
V 162 :0.804517 -0.59383 0.0109097 -0.0504571 -0.0866382 -0.994961 0.591783 0.799913 -0.0996649 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.822202 -0.565611 0.0637841 0.568988 -0.813695 0.11897 -0.0153897 0.134109 0.990847 ,-0.56238 -0.0569753 -0.541496 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.770089 0.0157356 -0.0500037 ,19.3055
V 163 :0.751669 -0.659532 0.00327797 -0.0595166 -0.0727792 -0.995571 0.65685 0.748145 -0.0939591 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.771392 -0.631865 0.075511 0.636311 -0.764403 0.103911 -0.00793665 0.128204 0.991716 ,-0.602098 -0.00795323 -0.881037 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.02438 0.182708 -0.0349296 ,19.3055
V 164 :0.823862 -0.566718 -0.00911927 -0.0649913 -0.0784728 -0.994796 0.563053 0.820167 -0.101483 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.840787 -0.535838 0.0771631 0.541345 -0.833405 0.11127 0.00468539 0.135326 0.99079 ,-0.748574 -0.00203593 -1.03661 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.20389 0.346793 -0.0603629 ,19.3055
V 166 :0.921121 -0.389277 -6.01166e-05 -0.034673 -0.0818907 -0.996038 0.38773 0.917473 -0.0889287 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.932532 -0.358858 0.0400459 0.361054 -0.925239 0.116497 -0.00475402 0.123096 0.992383 ,-1.02977 0.0389768 -1.17226 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.42316 0.600755 -0.0121698 ,19.3055
V 168 :0.947373 -0.319965 0.0103639 -0.0284149 -0.11629 -0.992809 0.318869 0.940266 -0.119262 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.956667 -0.289506 0.0312157 0.290836 -0.944772 0.151064 -0.0142422 0.153596 0.988031 ,-1.21346 0.111273 -1.49757 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.65468 0.959047 0.000172337 ,19.3055
V 170 :0.967005 -0.254626 -0.00827412 -0.0268165 -0.0694374 -0.997226 0.253345 0.964544 -0.0739746 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.974319 -0.223523 0.0272128 0.225153 -0.968702 0.104512 0.00300019 0.107955 0.994151 ,-1.42604 0.0905664 -1.75246 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.85511 1.25898 0.00084388 ,19.3055
V 171 :0.981256 -0.192468 -0.00964099 -0.0250183 -0.0776258 -0.996669 0.191078 0.978229 -0.0809861 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.986689 -0.16096 0.0231672 0.162555 -0.98025 0.112633 0.00458017 0.1149 0.993367 ,-1.59117 0.0980263 -1.80492 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,1.94323 1.39486 -0.0114616 ,19.3055
V 172 :0.993284 -0.114218 -0.0184743 -0.0299706 -0.0997698 -0.994559 0.111753 0.988433 -0.102523 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.996377 -0.0811909 0.0253043 0.0838709 -0.987365 0.134445 0.0140689 0.13608 0.990598 ,-1.7715 0.163599 -1.80346 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,2.00681 1.5285 -0.00161047 ,19.3055
V 173 :0.998751 -0.0443864 -0.0229568 -0.0267196 -0.0861301 -0.995926 0.0422283 0.995295 -0.0872086 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.999739 -0.0116874 0.0196339 0.0139697 -0.992621 0.120453 0.0180812 0.120696 0.992525 ,-1.93483 0.148065 -1.86136 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,2.06058 1.71358 -0.00716961 ,19.3055
V 174 :0.998046 -0.0314245 -0.0540067 -0.0562765 -0.0764983 -0.99548 0.0271511 0.996575 -0.0781174 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.998806 0.00437014 0.0486634 0.00104799 -0.993847 0.110761 0.048848 0.110679 0.992655 ,-1.9906 0.179721 -1.98352 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,2.09869 1.8621 -0.0335417 ,19.3055
V 175 :0.999396 -0.0177775 -0.0298738 -0.0321938 -0.149062 -0.988304 0.0131165 0.988668 -0.149544 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.999554 0.0176018 0.0241048 -0.0129006 -0.983048 0.182893 0.0269154 0.1825 0.982837 ,-2.05188 0.268623 -2.08176 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,2.13448 2.00054 -0.0514562 ,19.3055
V 176 :0.99908 0.0351704 -0.0245569 -0.0184763 -0.163819 -0.986317 -0.0387121 0.985863 -0.163019 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.997587 0.0688958 0.00862802 -0.0658502 -0.978171 0.197094 0.0220186 0.19605 0.980347 ,-2.19007 0.289953 -2.09507 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,2.16306 2.13218 -0.05258 ,19.3055
V 177 :0.993295 0.109009 -0.038495 -0.0229409 -0.140501 -0.989815 -0.113307 0.984061 -0.137058 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.989609 0.143396 0.0105911 -0.139425 -0.974986 0.173099 0.0351479 0.169824 0.984847 ,-2.36362 0.255677 -2.06439 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,2.17551 2.26977 -0.0663679 ,19.3055
V 178 :0.961976 0.269841 -0.0422751 -0.00642936 -0.132364 -0.99118 -0.273057 0.953764 -0.125597 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.953406 0.301486 -0.0111002 -0.299214 -0.940236 0.162562 0.0385734 0.158309 0.986636 ,-2.70046 0.202416 -1.83608 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,2.16213 2.46067 -0.0905445 ,19.3055
